loc	GRCh38.p13-Dombi-23_ATAC_2.samtools-coordinate	GRCh38.p13-Dombi-23_ATAC_1.samtools-coordinate	GRCh38.p13-PKC19_ATAC_4.samtools-coordinate	GRCh38.p13-PKC19_ATAC_1.samtools-coordinate	GRCh38.p13-PKC19_ATAC_2.samtools-coordinate	GRCh38.p13-PKC19_ATAC_3.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_4.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_1.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_2.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_3.samtools-coordinate	GRCh38.p13-GSM4728093.samtools-coordinate	GRCh38.p13-GSM4728094.samtools-coordinate
1:1325154-1325354	0.0	2.0	11.0	31.0	23.0	13.0	17.0	6.0	15.0	23.0	5.0	76.0
1:1325519-1325719	0.0	2.0	2.0	19.0	18.0	27.0	22.0	1.0	12.0	45.0	6.0	99.0
1:1325571-1325771	0.0	1.0	3.0	24.0	18.0	32.0	20.0	3.0	8.0	40.0	7.0	99.0
1:1331120-1331320	0.0	1.0	13.0	14.0	20.0	18.0	34.0	9.0	11.0	37.0	12.0	143.0
1:1332004-1332204	0.0	4.0	16.0	16.0	3.0	26.0	10.0	6.0	5.0	38.0	2.0	63.0
1:1332128-1332328	0.0	6.0	14.0	30.0	6.0	23.0	12.0	7.0	5.0	42.0	3.0	78.0
1:1332206-1332406	0.0	9.0	16.0	36.0	7.0	13.0	15.0	8.0	6.0	45.0	3.0	70.0
1:1332256-1332456	0.0	10.0	20.0	36.0	11.0	13.0	13.0	7.0	5.0	39.0	3.0	70.0
1:1332888-1333088	9.0	14.0	30.0	26.0	25.0	56.0	26.0	19.0	15.0	49.0	12.0	149.0
1:1332897-1333097	9.0	15.0	30.0	26.0	26.0	56.0	26.0	19.0	15.0	47.0	11.0	152.0
1:1333498-1333698	0.0	10.0	21.0	7.0	13.0	16.0	7.0	7.0	8.0	28.0	3.0	55.0
